Address,Name,Subsystem,Status,Description
0x001003bc,Weather_InitWeatherHeap,Weather,done,Initializes heap for weather sub-system
0x00100684,Time_StateManagerUpdateTick,Time,partial,"Per-frame update tick for a state manager object. Flushes pending state transitions across multiple subsystems, then che"
0x001009e4,Weather_CleanupWeatherHeap,Weather,done,Cleans up and destructs weather heap objects
0x00112584,Town_GridSubObjectConstructor,Town,partial,"First sub-ctor called in FUN005ca4f4's chain, at param1 = iVar1 + 0x29200 (where iVar1 is the cursor after the initial D"
0x00114e10,Town_AdvanceFloraGrowthForPlayableAcres,Town,partial,"AUDIT 2026-09-07: does NOT iterate all 20 acres -- picks ONE random eligible acre via bounded RNG and processes it via Town_ProcessFloraTileGrid, then returns early. See systems/flora-growth.md."
0x001175bc,Town_BsGrowUp_UpdateDailyFloraGrowth,Town,done,Main daily flora tick: checks rain/snow weather to auto-water all flowers and triggers acre flora update.
0x001176c4,Town_BsGrowUp_CheckDayChange,Town,done,Monitors GameDateTime day-of-month and executes acre scan when date advances.
0x0011d538,Core_Main_EntryPoint,Core,partial,"Application entry point. Initializes core services, waits for applet readiness, then enters the main game loop via FUN00"
0x0011e3d8,Core_AppServiceInitializer,Core,partial,Initializes core 3DS OS services required before the game loop starts. Contains IPC calls via SVC 0x24 (WaitSynchronizat
0x0011edfc,Core_MainGameLoop,Core,partial,The main game loop / application lifecycle function. Manages three initialization phases (tracked via bytes in appstate)
0x00124120,Time_ConvertDateToTicks,Time,done,Converts a date object to a 64-bit tick representation. Called as Phase 1 of FUN00308F5C before tick-space arithmetic.
0x00124154,Time_ConvertTicksToWallClock,Time,done,Computes current wall-clock time by combining: 1. Elapsed ticks since startup (from FUN0012994C) 2. Base wall-clock time
0x00126514,Time_ConvertTicksToDate,Time,done,Converts a 64-bit tick value back to a date struct. Inverse of FUN00124120. Core utility for the entire date arithmetic
0x001296bc,Time_CalculateJulianDay,Time,partial,Converts a broken-down date/time into a single 64-bit integer timestamp. Used as the foundation of all date arithmetic i
0x0012994c,Time_ReadCalibratedSystemTicks,Time,partial,Returns the current time as a 64-bit tick count derived from the 3DS system tick counter. Critically: this is not a dire
0x0012a53c,Core_ServiceHandleWaitIpcInit,Core,done,"Waits for a service handle to become ready (SVC 0x24 = WaitSynchronization1), then proceeds to open the service port via"
0x0012cc9c,Save_CleanupSaveDataBuffer,Save,partial,"Destructor / cleanup function for the gardenplus.dat save buffer. Checks if the buffer is loaded, calls C++ destructors"
0x0012f8a0,Time_JulianDayNumberCalculator,Time,partial,"Converts a calendar date to a Julian Day Number (or equivalent day-count integer), using an epoch anchored at year 2000."
0x0012f998,Time_JulianDaySubFieldCalculator,Time,done,"Computes a tick/Julian Day value from (year, month, dayfield). Variant of FUN0012F8A0 used specifically for sub-field no"
0x0019f2f4,UI_BsMenuItem_DrawPocketsUI,UI,done,Dispatches 2D lyt layout rendering for 16 pocket item slots and active item cursor.
0x0019f37c,UI_BsMenuItem_InitPocketsMenu,UI,done,"Initializes 16 pocket item icon sprites, equips hand slot layout, and binds touch callbacks."
0x0019f768,UI_BsMenuItem_UpdatePocketsTouchAndButtons,UI,partial,"AUDIT 2026-09-07: real code is a generic focus/dirty-flag dispatcher (toggles state bits, calls a vtable callback + two redraw calls at +0xE0/+0xD44). No drag-and-drop, fruit stacking, or context-menu logic found. See systems/inventory.md."
0x0019fa5c,UI_BsMenuItem_ClosePocketsMenu,UI,done,"Closes pockets menu, saves inventory ordering to active player buffer, and resumes gameplay."
0x001af1d8,Save_SaveSystemPerFrameTick,Save,partial,"Per-frame wrapper around the save state machine. Prepares context, calls the dispatcher, then executes a virtual callbac"
0x001b8b9c,Save_ReadSaveFileRaw,Save,partial,Generic low-level file reader. Implements the full open → seek → read → verify → close cycle against the nn::fs API. Ret
0x001b927c,Save_MountSaveArchive,Save,partial,"Mounts the save data archive via nn::fs using the ""data:"" virtual drive. Sets a global busy flag before mounting. Return"
0x001b9428,Save_CheckSaveMount,Save,partial,"Pre-flight check before reading gardenplus.dat. Verifies the save archive is accessible and mounts ""data:"" if needed. Re"
0x001b96c8,Save_LoadGardenPlusFile,Save,done,Reads the entire gardenplus.dat save file into the runtime save buffer.
0x001d3748,Save_DispatchSaveLifecycle,Save,partial,This function implements a state machine for resource loading. It manages the transition from raw data loading to struct
0x001d3d3c,Save_DispatchSaveLoadStateMachine,Save,partial,Per-tick dispatcher for the save system state machine. Extracts state bits [1:5] from param3 (uVar4 = param3 & 0x3e) and
0x001e0340,Core_ConstructSmallMapStateObject,Core,done,"Minimal constructor - zeroes 3 uint32 fields and 1 uint16 field at offset +0x22, then calls FUN0027a490."
0x001e5bc8,Weather_InitializeWeatherSystem,Weather,done,"Initializes the entire weather system: loads all four shaders, then populates a set of weather data tables from an exter"
0x001e5eb0,Weather_GetSeasonParameter,Weather,done,"Queries a 4-byte property from the 23-period season parameter table (DAT_00951138, 0x28 bytes per period)."
0x001e5ef4,Weather_PeriodicWeatherUpdate,Weather,partial,Per-frame tick that throttles weather parameter updates to every 300 frames (~5 seconds at 60fps). When the counter expi
0x001e63dc,Weather_InterpolateWeatherEnvironment,Weather,partial,"Per-frame weather update. Reads current and next weather state indices from a time/date object, interpolates all weather"
0x001e6fe0,Weather_CompositeSkyColors,Weather,partial,Blends up to 10 weighted sky color layers and pushes the results as GPU uniforms to PICA200. This is the per-frame sky r
0x001e82e0,Weather_ResolveWeatherGroupIndex,Weather,done,"Maps (weathertype, periodindex) → groupindex into EnvironmentParameter.bin."
